"Início dos relatórios","Encerramento dos relatórios","Nome do anúncio","Veiculação de anúncio",Início,Término,"Data da última edição",Resultados,"Indicador de resultados","Custo por resultados","Valor usado (BRL)","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Alcance,Frequência,Impressões,"Cliques no link","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino","Visitas ao perfil do Instagram","Seguidores no Instagram","Cliques em Como chegar"
2026-07-01,2026-07-21,"CRSL02 Eventos Junho — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"curikids — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"VAD01 CIRCO DAS CORES — Cópia — Cópia — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD05 Happy Hour Dia dos Namorados — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-15,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Achadinhos detona — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-12,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Loja artesanato — Cópia",not_delivering,2026-06-03,Contínuo,2026-06-08,3276,total_profile_visits,0.26516484,868.68,"Usando orçamento da campanha",0,77182,1.351831,104337,2529,2.423876,0.343488,8.325714,3,736,68,
2026-07-01,2026-07-21,"VAD05 Eventos Junho Maratoninha — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Feed circo — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"LAD01 LIVE Corta Preço — Cópia — Cópia — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-05,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Happy hour — Cópia",not_delivering,2026-06-03,Contínuo,2026-06-08,42,total_profile_visits,0.41214286,17.31,"Usando orçamento da campanha",0,1434,1.078801,1547,32,2.06852,0.540938,11.189399,,17,4,
2026-07-01,2026-07-21,"maratoninha — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Feed circo — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"evento troca de figurinha — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD05 Happy Hour Dia dos Namorados — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-15,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"VAD04 Eventos Junho Sorteio Cruzeiro — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"VAD06 Eventos Junho Circo das Cores — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"VAD03 Eventos Junho Buzz — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"VAD05 Eventos Junho Maratoninha — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
