"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Início,"Data da última edição",Término,Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"Cliques no link únicos","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino"
2026-07-01,2026-07-21,"Post do Instagram: A chave do seu carro novo...",active,2026-07-15,2026-07-15,2026-07-22,325,profile_visit_view,0.35501538,20,Diário,115.38,13311,9234,1.44152,283,2.366464,0.366286,8.668019,49
2026-07-01,2026-07-21,"Post do Instagram: 🚗Confira algumas das...",recently_completed,2026-07-17,2026-07-17,2026-07-20,293,profile_visit_view,0.3062116,30,Diário,89.72,15660,11369,1.37743,261,1.768838,0.323899,5.729246,19
2026-07-01,2026-07-21,"CA 49 [Tráfego] [Feirão Santander]",inactive,2024-08-20,2024-08-28,Contínuo,,,,80,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 55 [Jairauto] [Whatsapp]",inactive,2024-08-29,2025-01-30,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 57 [Tráfego] [Ofertas da semana]",inactive,2024-08-29,2024-09-12,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 54 [Whatsapp] [Toso] [off]",inactive,2024-09-14,2024-11-01,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Feirão - Dezembro ] [Tráfego]",inactive,2024-12-09,2024-12-16,Contínuo,,,,30,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 64 [Tráfego-site] [Ofertas das semana]",inactive,2024-12-19,2025-01-21,Contínuo,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 65 [Feirão Itaú- Janeiro] [Tráfego- Site]",inactive,2025-01-22,2025-01-29,Contínuo,,,,200,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 75 [Tipave - whatsapp]",inactive,2025-04-04,2025-04-04,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 79 [Toso - Whatsapp]",inactive,2025-04-10,2026-05-29,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 86 [Toso - Whatsapp] [OFF]",inactive,2025-04-23,2025-06-12,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 88 [Leon - Whatsapp]",inactive,2025-04-23,2026-05-29,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 94 [South Motors - Whatsapp]",inactive,2025-05-02,2026-05-29,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
