Relatório de campanha
1 de janeiro de 2026 - 30 de junho de 2026
Mês,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,ID da campanha,Tipo de campanha,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,CTR,CPC méd.,Pontuação de otimização,Tipo de estratégia de lances,Cliques,Taxa de conv.,Conversões,Custo / conv.,Parcela impr rede de pesquisa,Parc impr perd rede de pesquisa (orç),Taxa de rejeição (UA (Universal Analytics na sigla em inglês)),Duração média da sessão (segundos) (UA (Universal Analytics na sigla em inglês)),% de sessões novas (UA (Universal Analytics na sigla em inglês)),% de sessões engajadas (GA4),Eventos / sessão (GA4),Páginas / sessão (UA (Universal Analytics na sigla em inglês))
maio de 2026,Ativada,[L3FT] PMax_Visitas,"75,73", --,Diário,BRL,Encerrado,campanha finalizada,19778390138,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
junho de 2026,Ativada,[L3FT] PMax_Visitas,"75,73", --,Diário,BRL,Encerrado,campanha finalizada,19778390138,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
janeiro de 2026,Ativada,[L3FT] PMax_Feirão,"214,29", --,Diário,BRL,Encerrado,campanha finalizada,19149360199,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
fevereiro de 2026,Ativada,[L3FT] PMax_Feirão,"214,29", --,Diário,BRL,Encerrado,campanha finalizada,19149360199,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
março de 2026,Ativada,[L3FT] PMax_Feirão,"214,29", --,Diário,BRL,Encerrado,campanha finalizada,19149360199,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
abril de 2026,Ativada,[L3FT] PMax_Feirão,"214,29", --,Diário,BRL,Encerrado,campanha finalizada,19149360199,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
maio de 2026,Ativada,[L3FT] PMax_Feirão,"214,29", --,Diário,BRL,Encerrado,campanha finalizada,19149360199,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
junho de 2026,Ativada,[L3FT] PMax_Feirão,"214,29", --,Diário,BRL,Encerrado,campanha finalizada,19149360199,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
janeiro de 2026,Pausada,[L3FT] DIS_ACP,"33,33", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,16906817964,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
fevereiro de 2026,Pausada,[L3FT] DIS_ACP,"33,33", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,16906817964,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
março de 2026,Pausada,[L3FT] DIS_ACP,"33,33", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,16906817964,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
abril de 2026,Pausada,[L3FT] DIS_ACP,"33,33", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,16906817964,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
maio de 2026,Pausada,[L3FT] DIS_ACP,"33,33", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,16906817964,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
junho de 2026,Pausada,[L3FT] DIS_ACP,"33,33", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,16906817964,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
janeiro de 2026,Ativada,[L3FT] PMax_Institucional,"141,45", --,Diário,BRL,Encerrado,campanha finalizada,16697450333,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
fevereiro de 2026,Ativada,[L3FT] PMax_Institucional,"141,45", --,Diário,BRL,Encerrado,campanha finalizada,16697450333,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
março de 2026,Ativada,[L3FT] PMax_Institucional,"141,45", --,Diário,BRL,Encerrado,campanha finalizada,16697450333,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
abril de 2026,Ativada,[L3FT] PMax_Institucional,"141,45", --,Diário,BRL,Encerrado,campanha finalizada,16697450333,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
maio de 2026,Ativada,[L3FT] PMax_Institucional,"141,45", --,Diário,BRL,Encerrado,campanha finalizada,16697450333,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
junho de 2026,Ativada,[L3FT] PMax_Institucional,"141,45", --,Diário,BRL,Encerrado,campanha finalizada,16697450333,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
